crop_name,botanical_name,crop_type,season,duration_days,ideal_soil,soil_ph_min,soil_ph_max,temp_min_c,temp_max_c,rainfall_mm,water_need_mm,major_states,seed_rate_kg_per_ha,spacing_cm,avg_yield_tonnes_per_ha,msp_per_quintal_inr,common_diseases,common_pests,irrigation_method,npk_ratio
Cowpea (Lobia),Vigna unguiculata,Pulse,Kharif+Summer,60-90,"Well-drained sandy loam to loam",6.0,7.5,25,35,400-700,300-450,"Rajasthan, Gujarat, Karnataka, TN, Maharashtra",15-20,45x15,0.5-1.2,5800,"Mosaic Virus, Bacterial Blight, Anthracnose","Pod Borer, Aphids, Whitefly",Rainfed/Sprinkler,20:40:20
Moth Bean (Matki),Vigna aconitifolia,Pulse,Kharif,60-75,"Sandy loam, tolerates drought and poor soils",6.0,8.0,25,35,200-400,200-300,"Rajasthan, Gujarat, Maharashtra, MP",8-12,30x10,0.3-0.6,7500,"Leaf Spot, Powdery Mildew, Yellow Mosaic","Whitefly, Pod Borer, Aphids",Rainfed,10-15:20-25:10-15
Potato (Aloo),Solanum tuberosum,Vegetable,Rabi,90-130,"Deep, well-drained loamy soils, friable",5.0,7.0,15,22,300-600,350-500,"UP, WB, Bihar, Gujarat, Punjab, Haryana, Assam, MP",1200-2500,60-75x20-25,15-40,1200,"Late Blight, Early Blight, Bacterial Wilt, Black Scurf","Potato Tuber Moth, Aphids, Cut Worm, White Grub",Drip/Furrow,150-250:80-120:150-200
Tomato (Tamatar),Solanum lycopersicum,Vegetable,Rabi+Kharif,90-140,"Well-drained sandy loam to loam",6.0,7.5,20,27,400-800,400-600,"AP, Karnataka, Maharashtra, Bihar, UP, WB, MP",0.4-0.5,60-90x45-60,20-40,1800,"Early Blight, Late Blight, Bacterial Wilt, Leaf Curl Virus","Fruit Borer, Whitefly, Leaf Miner, Aphids",Drip,150-250:100-150:200-300
Onion (Pyaz),Allium cepa,Vegetable,Rabi,110-150,"Deep, well-drained loam/sandy loam",6.0,7.5,15,25,400-600,350-550,"Maharashtra, Gujarat, Karnataka, AP, MP, Bihar, Rajasthan",8-10,15-20x10-15,10-30,2000,"Purple Blotch, Downy Mildew, Basal Rot, Stemphylium Blight","Thrips, Onion Maggot, Mites",Drip/Sprinkler,100-150:40-80:40-60
Cabbage (Patta Gobhi),Brassica oleracea var. capitata,Vegetable,Rabi,90-120,"Well-drained loamy soils rich in organic matter",6.0,7.5,15,25,400-700,400-500,"WB, UP, Bihar, Odisha, Karnataka, MP, Gujarat",0.4-0.5,45-60x30-45,20-40,1500,"Black Rot, Clubroot, Downy Mildew, Alternaria Leaf Spot","Diamond Back Moth, Aphids, Cabbage Worm",Drip/Furrow,120-150:60-80:60-80
Cauliflower (Phool Gobhi),Brassica oleracea var. botrytis,Vegetable,Rabi,90-120,"Well-drained loamy soils rich in organic matter",6.0,7.0,15,22,400-700,400-500,"WB, Bihar, UP, MP, Odisha, Haryana, Gujarat",0.4-0.5,45-60x30-45,15-25,2200,"Black Rot, Downy Mildew, Alternaria Leaf Spot, Soft Rot","Diamond Back Moth, Aphids, Cabbage Borer",Drip/Furrow,120-150:60-80:60-80
Brinjal (Baingan),Solanum melongena,Vegetable,Year-round,90-140,"Well-drained loamy soils rich in organic matter",6.0,7.5,20,30,500-800,400-700,"WB, Bihar, AP, Karnataka, Gujarat, Odisha, Maharashtra",0.4-0.5,60-75x50-60,15-25,1800,"Phytophthora Blight, Verticillium Wilt, Little Leaf, Bacterial Wilt","Fruit & Shoot Borer, Aphids, Jassids, Whitefly",Drip/Furrow,150-200:80-120:150-200
Okra (Bhindi),Abelmoschus esculentus,Vegetable,Kharif+Summer,90-120,"Well-drained loamy soils",6.0,7.0,25,35,500-800,400-600,"UP, Bihar, WB, Gujarat, AP, Odisha, Maharashtra",8-10,60x30,8-15,2500,"Yellow Vein Mosaic, Powdery Mildew, Fruit Rot, Cercospora Leaf Spot","Shoot & Fruit Borer, Jassids, Whitefly, Aphids",Drip/Furrow,100-150:60-80:60-80
Carrot (Gajar),Daucus carota,Vegetable,Rabi,90-120,"Deep, loose sandy loam, well-drained",6.0,7.0,15,25,400-600,350-450,"Haryana, Punjab, UP, Karnataka, TN, AP",4-6,30x8-10,15-25,2500,"Alternaria Leaf Blight, Soft Rot, Cavity Spot, Sclerotinia Rot","Carrot Fly, Aphids, Root Knot Nematode",Drip/Sprinkler,50-80:40-60:80-100
Radish (Mooli),Raphanus sativus,Vegetable,Rabi,25-60,"Loose, deep sandy loam, well-drained",6.0,7.5,15,25,400-600,300-400,"WB, UP, Bihar, Punjab, Haryana, Gujarat",8-10,30x10,15-25,1200,"White Rust, Alternaria Blight, Black Rot, Club Root","Aphids, Flea Beetle, Root Maggot",Drip/Furrow,40-60:40-50:40-60
Beans (Sem),Phaseolus vulgaris,Vegetable,Rabi+Kharif,60-90,"Well-drained loamy soils",6.0,7.5,18,28,400-600,350-450,"Maharashtra, Karnataka, HP, Uttarakhand, J&K, UP",60-80,45x15,8-15,4500,"Anthracnose, Rust, Bacterial Blight, Mosaic Virus","Pod Borer, Aphids, Bean Fly",Drip/Sprinkler,20-40:40-60:20-40
Pumpkin (Kaddu),Cucurbita maxima,Vegetable,Kharif+Summer,90-120,"Well-drained loamy soils rich in organic matter",6.0,7.5,20,30,500-800,400-600,"UP, MP, Bihar, WB, Odisha, Rajasthan, Gujarat",2-3,200-300x60-90,15-30,1500,"Powdery Mildew, Downy Mildew, Anthracnose, Mosaic Virus","Fruit Fly, Red Pumpkin Beetle, Aphids",Drip/Furrow,60-80:40-60:40-60
Cotton (Kapas),Gossypium hirsutum,Fibre Crop,Kharif,140-180,"Deep loamy to black cotton soils (Vertisols)",6.0,8.0,25,35,600-1200,700-1200,"Gujarat, Maharashtra, Telangana, AP, Punjab, Haryana, Karnataka, Rajasthan",12-20,90-120x30-60,1.5-3.0,7710,"Boll Rot, Leaf Curl Virus, Fusarium Wilt, Alternaria Leaf Spot, Grey Mildew","Bollworm, Pink Bollworm, Whitefly, Jassids, Aphids",Drip/Furrow,60-120:40-80:40-60
Jute (Patson),Corchorus capsularis,Fibre Crop,Kharif,120-150,"Well-drained loamy to clay loam alluvial soils",6.0,7.5,25,35,1000-2000,500-700,"WB, Bihar, Assam, Odisha, Meghalaya",5-8,25-30x7,2.0-3.5,5335,"Stem Rot, Leaf Mosaic, Root Rot, Anthracnose","Stem Weevil, Semilooper, Mites, Hairy Caterpillar",Rainfed/Flood,60-80:15-20:15-20
Hemp,Cannabis sativa,Fibre Crop,Kharif,90-120,"Well-drained loamy soils",6.0,7.5,15,27,600-800,500-700,"Uttarakhand, HP, J&K",25-40,60x15,1.5-2.5,4500,"Grey Mould, Hemp Canker, Leaf Spot","Hemp Borer, Aphids, Mites",Rainfed/Sprinkler,80-100:40-60:40-60
Sunn Hemp,Crotalaria juncea,Fibre Crop,Kharif,90-120,"Well-drained sandy loam to loam",5.5,7.5,25,35,400-600,350-500,"UP, MP, Maharashtra, AP, Bihar, Odisha",25-30,30x10,1.0-2.0,6800,"Wilt, Leaf Spot, Mosaic Virus","Stem Borer, Hairy Caterpillar",Rainfed,20:40:20
Groundnut (Mungfali),Arachis hypogaea,Oilseed,Kharif,100-130,"Sandy loam to loam, well-drained friable",6.0,7.0,20,30,500-800,400-600,"Gujarat, AP, TN, Karnataka, Rajasthan, Maharashtra, MP",60-80,30-45x10-15,1.0-4.0,6783,"Leaf Spot, Rust, Tikka Disease, Aflatoxin, Collar Rot","Aphids, Leaf Miner, White Grub, Thrips",Sprinkler/Furrow,20-40:40-80:40-60
Sugarcane (Ganna),Saccharum officinarum,Cash Crop,Annual,300-450,"Deep loamy to clay loam, good water retention",6.0,8.0,20,35,800-1500,1500-2500,"UP, Maharashtra, Karnataka, TN, Gujarat, AP, Bihar, Haryana",10000-15000 setts,120-150 furrows,60-120,315,"Red Rot, Smut, Wilt, Grassy Shoot, Ratoon Stunting","Top Borer, Early Shoot Borer, Scale Insect, Pyrilla",Flood/Drip,150-250:50-150:100-150
Tobacco,Nicotiana tabacum,Cash Crop,Rabi,90-120,"Well-drained sandy loam to loam",5.5,7.5,20,30,600-1000,400-600,"AP, Gujarat, Karnataka, UP, Bihar, WB",0.02-0.03,90-100x60-75,1.5-2.5,18000,"Tobacco Mosaic Virus, Black Shank, Bacterial Wilt, Damping Off","Tobacco Caterpillar, Aphids, Whitefly, Budworm",Drip/Furrow,60-80:40-60:60-80
Mustard (Sarson),Brassica juncea,Oilseed,Rabi,90-120,"Well-drained loamy soils with good fertility",6.5,8.0,10,25,300-600,250-400,"Rajasthan, MP, UP, Haryana, Punjab, Gujarat, WB",2-5,30-45x10-15,1.0-3.0,5950,"Alternaria Blight, White Rust, Sclerotinia Stem Rot, Downy Mildew","Aphids, Painted Bug, Sawfly, Flea Beetle",Sprinkler/Flood,40-80:40-60:40-60
Tea,Camellia sinensis,Plantation,Perennial,Perennial,"Deep, well-drained acidic loamy soils",4.5,6.0,15,30,1500-3000,1200-1800,"Assam, WB, TN, Kerala, Karnataka, HP, Uttarakhand",10000-15000 plants/ha,120-150x75-90,1.5-3.0,22000,"Blister Blight, Grey Blight, Red Rust, Root Rot","Tea Mosquito, Red Spider Mite, Thrips, Looper",Sprinkler/Drip,120:60:120
Coffee,Coffea arabica/robusta,Plantation,Perennial,Perennial,"Deep, well-drained loamy soils rich in organic matter",6.0,6.5,15,28,1500-2500,1500-2000,"Karnataka, Kerala, TN, AP, Odisha",1000-2500 plants/ha,250-300x250-300,0.5-2.5,45000,"Coffee Rust, Black Rot, Die Back, Root Disease","Coffee Berry Borer, White Stem Borer, Mealy Bug",Drip/Sprinkler,40-80:40-60:80-120
Rubber,Hevea brasiliensis,Plantation,Perennial,Perennial,"Deep, well-drained laterite/clay loam soils",4.5,6.0,25,35,2000-4000,1500-2500,"Kerala, TN, Karnataka, Tripura, Assam, Meghalaya",400-500 plants/ha,500-800x500-800,1.2-2.0,17500,"Abnormal Leaf Fall, Powdery Mildew, Corynespora Leaf Fall","Scale Insect, Mites, Bark Feeding Caterpillar",Rainfed,10:10:10 initially
Coconut (Copra),Cocos nucifera,Plantation,Perennial,Perennial,"Sandy loam to loam, tolerates coastal saline",5.0,8.0,24,34,1000-2000,600-1000,"Kerala, TN, Karnataka, AP, Goa, Odisha, WB, Maharashtra",64-176 palms/ha,750-900x750-900,50-100 nuts/palm/yr,11582,"Bud Rot, Leaf Spot, Stem Bleeding, Root Wilt","Rhinoceros Beetle, Red Palm Weevil, Coconut Mite, Eriophyid Mite",Drip/Basin,500:170:750 g/palm/yr
Arecanut (Supari),Areca catechu,Plantation,Perennial,Perennial,"Well-drained laterite/red loamy soils",5.0,6.5,25,35,1500-3000,1200-1800,"Karnataka, Kerala, Assam, WB, Meghalaya, TN",435 palms/ha,270x270,2.0-3.5,55000,"Koleroga (Fruit Rot), Yellow Leaf Disease, Bud Rot, Foot Rot","Spindle Bug, Mites, Root Grub",Drip/Basin,100:40:140 g/palm/yr
Cocoa,Theobroma cacao,Plantation,Perennial,Perennial,"Deep, well-drained loamy soils rich in organic matter",6.0,7.5,20,32,1500-2500,1200-1800,"Kerala, Karnataka, TN, AP, Andaman",1000-1100 plants/ha,300x300,0.5-1.5,25000,"Black Pod Disease, Canker, Swollen Shoot Virus","Mealy Bug, Pod Borer, Tea Mosquito",Drip/Basin,70-100:40-50:100-140
Black Pepper (Kali Mirch),Piper nigrum,Spice,Perennial,Perennial,"Well-drained laterite/red loamy soils",5.5,7.0,20,30,1500-3000,1200-2000,"Kerala, Karnataka, TN, Goa, Maharashtra",1600-2000 vines/ha,300x300,1.5-4.0,42000,"Phytophthora Foot Rot, Anthracnose, Slow Decline, Quick Wilt","Pollu Beetle, Leaf Gall Thrips, Mealy Bug, Scale Insect",Drip/Basin,50:50:150 g/vine/yr
Cardamom (Elaichi),Elettaria cardamomum,Spice,Perennial,Perennial,"Well-drained loamy soils rich in organic matter, shade required",5.5,7.0,10,25,1500-4000,1500-2500,"Kerala, Karnataka, TN",1000-2500 plants/ha,200-300x200-300,0.15-0.3,120000,"Capsule Rot (Azhukal), Rhizome Rot, Mosaic Virus, Clump Rot","Thrips, Shoot Fly, Capsule Borer, Root Grub",Sprinkler/Drip,75:75:150 g/clump/yr
Turmeric (Haldi),Curcuma longa,Spice,Kharif,210-270,"Deep, fertile loam rich in organic matter",4.5,7.5,20,30,1000-2000,900-1200,"Kerala, TN, Karnataka, Odisha, Maharashtra, AP, Assam, WB",2000-3000,45-60x30-45,8-15,12000,"Leaf Blotch, Rhizome Rot, Bacterial Wilt, Leaf Spot","Shoot Borer, Scale Insect, Rhizome Fly, Thrips",Drip/Sprinkler,150-200:80-100:200-250
Ginger (Adrak),Zingiber officinale,Spice,Kharif,210-270,"Deep, well-drained sandy loam rich in organic matter",5.5,7.0,20,30,1500-2500,1200-1800,"Kerala, Karnataka, Odisha, Assam, Meghalaya, Arunachal, WB",1500-2000,40-50x25-30,8-15,18000,"Soft Rot, Bacterial Wilt, Leaf Spot, Yellows","Shoot Borer, Rhizome Fly, Scale Insect",Drip/Sprinkler,100:50:100
Red Chilli (Lal Mirch),Capsicum annuum,Spice,Kharif+Rabi,120-150,"Well-drained loam with good organic matter",6.0,7.0,20,30,600-1000,475-650,"AP, Telangana, Karnataka, Maharashtra, Odisha, WB, TN, MP",0.2-0.4,60-90x45-60,3-12,16000,"Anthracnose, Bacterial Spot, Phytophthora Root Rot, Powdery Mildew, Die Back","Thrips, Mites, Fruit Borer, Aphids, Whitefly",Drip,120-200:100-150:150-200
Coriander (Dhaniya),Coriandrum sativum,Spice,Rabi,90-120,"Well-drained sandy loam to loam",6.0,7.5,15,25,300-500,300-400,"Rajasthan, MP, Gujarat, AP, TN, Karnataka, UP",15-20,30x15,0.8-1.5,8500,"Powdery Mildew, Stem Gall, Wilt, Grain Mould","Aphids, Seed Wasp, Mites",Sprinkler,40:40:20
Cumin (Jeera),Cuminum cyminum,Spice,Rabi,90-120,"Well-drained sandy loam, tolerates alkaline soils",7.0,8.0,15,25,200-400,250-350,"Gujarat, Rajasthan, UP",10-12,30x15,0.3-0.6,25000,"Wilt, Blight, Powdery Mildew, Alternaria Blight","Aphids, Thrips, Seed Wasp",Sprinkler/Furrow,20-30:20-30:20-30
Fenugreek (Methi),Trigonella foenum-graecum,Spice,Rabi,90-120,"Well-drained loamy soils",6.0,7.5,15,25,300-500,300-400,"Rajasthan, Gujarat, MP, UP, Haryana, Punjab",20-25,30x10,1.0-2.0,7500,"Powdery Mildew, Root Rot, Downy Mildew, Cercospora Leaf Spot","Aphids, Leaf Eating Caterpillar",Sprinkler/Flood,20-30:40-50:20-30
Clove (Laung),Syzygium aromaticum,Spice,Perennial,Perennial,"Deep, well-drained laterite/loamy soils",6.0,7.0,20,30,1500-2500,1200-1800,"Kerala, TN, Karnataka, Andaman",100-150 trees/ha,600-800x600-800,2.5-5 kg/tree,95000,"Leaf Spot, Die Back, Leaf Rot, Seedling Blight","Stem Borer, Scale Insect, Mealy Bug",Drip/Basin,20:18:50 g/tree initially
Cinnamon (Dalchini),Cinnamomum verum,Spice,Perennial,Perennial,"Well-drained laterite/sandy loam soils",6.0,7.5,20,30,1500-2500,1200-1800,"Kerala, TN, Karnataka",1000-2500 plants/ha,200-300x200-300,100-200 kg bark/ha,35000,"Leaf Spot, Grey Blight, Stripe Canker, Pink Disease","Leaf Miner, Shoot Borer, Psyllid",Rainfed/Drip,10-20:10-20:25-30 kg/ha
Nutmeg (Jaiphal),Myristica fragrans,Spice,Perennial,Perennial,"Deep, well-drained laterite/clay loam soils",5.5,7.0,20,35,1500-2500,1200-1800,"Kerala, TN, Karnataka, Goa",200-400 trees/ha,800-900x800-900,2-5 kg nuts/tree,65000,"Fruit Rot, Leaf Spot, Thread Blight, Die Back","Fruit Fly, Scale Insect, Bark Caterpillar",Drip/Basin,200:100:200 g/tree/yr after 5 yrs
Soybean,Glycine max,Oilseed,Kharif,100-140,"Well-drained loam to clay loam",6.0,7.5,20,30,500-1000,350-500,"MP, Maharashtra, Rajasthan, Gujarat, UP, Karnataka",75-100,30-45x5-10,1.0-3.0,4600,"Soybean Rust, Bacterial Blight, Pod Blight, Yellow Mosaic, Charcoal Rot","Girdle Beetle, Stem Fly, Defoliators, Whitefly",Sprinkler/Rainfed,20-40:40-60:20-40
Sunflower,Helianthus annuus,Oilseed,Kharif+Rabi,80-110,"Well-drained loamy soils",6.5,8.0,20,30,500-750,350-500,"Karnataka, AP, Maharashtra, TN, Telangana, Bihar",5-8,60x30,1.0-2.5,7280,"Alternaria Blight, Downy Mildew, Rust, Charcoal Rot, Sclerotinia Wilt","Head Borer, Jassids, Whitefly, Aphids",Drip/Furrow,60-80:60-80:40-60
Sesame (Til),Sesamum indicum,Oilseed,Kharif,80-110,"Well-drained sandy loam to loam",5.5,8.0,25,35,300-500,200-350,"WB, Rajasthan, MP, Gujarat, TN, UP, Maharashtra",3-5,30-45x15,0.3-0.8,8635,"Phytophthora Blight, Cercospora Leaf Spot, Phyllody, Alternaria Leaf Spot","Gall Midge, Leaf Roller, Hawk Moth, Thrips",Rainfed,30-40:20-30:20
Linseed (Alsi),Linum usitatissimum,Oilseed,Rabi,110-150,"Well-drained loamy soils",5.5,7.0,15,25,400-600,300-400,"MP, UP, Chhattisgarh, Maharashtra, Bihar",20-25,30x10,0.5-1.5,7200,"Rust, Wilt, Alternaria Blight, Powdery Mildew","Bud Fly, Aphids, Cut Worm",Sprinkler/Furrow,40-50:20-30:20-30
Castor Seed (Arandi),Ricinus communis,Oilseed,Kharif,140-180,"Well-drained loamy soils, tolerates poor soils",5.0,8.0,20,35,400-600,350-500,"Gujarat, Rajasthan, AP, TN, Karnataka, Maharashtra",8-12,90-120x60-90,1.0-2.5,6850,"Fusarium Wilt, Grey Rot, Leaf Spot, Seedling Blight","Semilooper, Shoot Borer, Capsule Borer, Whitefly",Rainfed/Drip,40-80:40-60:20-40
Safflower (Kusum),Carthamus tinctorius,Oilseed,Rabi,120-150,"Well-drained medium to deep black soils",6.5,8.0,15,30,400-600,250-400,"Maharashtra, Karnataka, AP, MP, Chhattisgarh, Odisha",10-15,45x20,0.6-1.5,5800,"Alternaria Leaf Spot, Wilt, Rust, Phytophthora Root Rot","Aphids, Capsule Fly, Caterpillars, Safflower Fly",Rainfed/Furrow,40-60:30-40:20-30
Niger Seed (Ramtil),Guizotia abyssinica,Oilseed,Kharif,90-120,"Well-drained loamy soils, tolerates poor fertility",5.5,7.5,15,25,800-1200,600-800,"MP, Odisha, Chhattisgarh, Jharkhand, Maharashtra, Karnataka",5-6,30x10,0.3-0.6,8717,"Cercospora Leaf Spot, Alternaria Blight, Wilt","Capsule Fly, Aphids, Leaf Webber",Rainfed,20-30:20-30:10-20
Berseem,Trifolium alexandrinum,Fodder,Rabi,150-180,"Well-drained loamy to clay loam",6.0,8.0,10,25,400-600,500-700,"Punjab, Haryana, UP, Rajasthan, MP, Bihar, Gujarat",20-25,Broadcast,60-100 (green),800,"Root Rot, Stem Rot, Downy Mildew, Leaf Spot","Aphids, Army Worm, Cut Worm",Flood/Sprinkler,20:60:20
Napier Grass,Pennisetum purpureum,Fodder,Perennial,Perennial,"Well-drained loamy to clay soils",5.5,8.0,20,35,800-1500,800-1200,"TN, Karnataka, AP, Gujarat, Maharashtra, UP, MP",20000-25000 cuttings/ha,90x60,150-300 (green),600,"Rust, Leaf Spot, Smut","Stem Borer, Shoot Bug, Aphids",Flood/Drip,80-100:40-50:40-50
Sorghum Fodder,Sorghum bicolor,Fodder,Kharif,60-80,"Well-drained loams to clay loams",6.0,8.0,25,35,400-700,350-500,"Maharashtra, Karnataka, Rajasthan, Gujarat, MP, AP, TN",30-40,30x15,40-60 (green),700,"Leaf Spot, Anthracnose, Downy Mildew","Stem Borer, Aphids, Shoot Fly",Rainfed/Furrow,40:20:20
Cowpea Fodder,Vigna unguiculata,Fodder,Kharif,50-70,"Well-drained sandy loam to loam",6.0,7.5,25,35,400-700,300-450,"Rajasthan, Gujarat, Maharashtra, TN, Karnataka",30-40,30x10,20-35 (green),750,"Mosaic Virus, Powdery Mildew, Anthracnose","Aphids, Pod Borer",Rainfed,20:40:20
Lucerne (Alfalfa),Medicago sativa,Fodder,Rabi,Perennial,"Deep, well-drained loamy soils",6.5,8.0,10,30,400-800,600-900,"Punjab, Haryana, UP, Gujarat, Rajasthan, HP",15-20,30x15,60-100 (green/yr),1200,"Crown Rot, Root Rot, Leaf Spot, Bacterial Wilt","Aphids, Army Worm, Weevils",Flood/Sprinkler,20:80:20
Maize Fodder,Zea mays,Fodder,Kharif+Rabi,60-80,"Deep, well-drained loamy soils",5.5,7.5,20,32,500-800,400-600,"Punjab, Haryana, UP, MP, Karnataka, Bihar, Rajasthan",50-75,60x20,35-50 (green),650,"Maydis Leaf Blight, Downy Mildew, Stalk Rot","Stem Borer, Shoot Fly, Army Worm",Sprinkler/Furrow,80:40:40
